title,actor,actress,genre,budget,revenue,imdb_score,success
Survivre,Andreas Pietschmann,Émilie Dequenne,Ciencia ficción,5270000,0,5.9,0
La culpa no es mía,Antonio Folletto,Laura Adriani,Comedia,0,0,6.6,0
Godzilla y Kong: El nuevo imperio,Brian Tyree Henry,Rebecca Hall,Acción,150000000,571750016,7.1,1
Intimidad,Mark Rylance,Kerry Fox,Romance,0,2672527,6.3,0
Amigos imaginarios,Ryan Reynolds,Cailey Fleming,Comedia,110000000,190309707,7.147,1
Levels,Peter Mooney,Cara Gee,Acción,0,0,5.5,0
Whisper of the Witch,Артур Бесчастный,Марьяна Спивак,Terror,0,0,6.44,0
No salgas,Adriano Sessa,Sofía Romano,Suspense,0,0,8.8,0
"Las crónicas de Narnia: El león, la bruja y el armario",William Moseley,Anna Popplewell,Aventura,180000000,745013115,7.135,1
Cónclave,Ralph Fiennes,Isabella Rossellini,Drama,20000000,76443243,7.2,1
Tatsulok: Tatlo Magkasalo,Marlon Marcia,Mariane Saint,Drama,0,0,6.2,0
Fast & Furious X,Vin Diesel,Michelle Rodríguez,Acción,340000000,704709660,7.064,1
365 días: Aquel día,Michele Morrone,Anna-Maria Sieklucka,Romance,0,0,5.883,0
La sobrina,Daniele Vargas,Francesca Muzio,Comedia,0,0,5.6,0
Calendario mortal,Sabin Tambrea,Luise Heyer,Crimen,0,0,6.4,0
The Moor,Bernard Hill,Sophia La Porta,Terror,0,0,5.5,0
Vaiana,Dwayne Johnson,Catherine Laga'Aia,Aventura,0,0,0.0,0
El rey león,Chiwetel Ejiofor,Alfre Woodard,Aventura,260000000,1662020819,7.1,1
El cuervo,Bill Skarsgård,FKA twigs,Acción,50000000,24109036,5.9,0
Babygirl,Harris Dickinson,Nicole Kidman,Drama,20000000,31141381,5.6,1
Kraven the Hunter,Aaron Taylor-Johnson,Ariana DeBose,Acción,120000000,59184643,6.553,0
Sonic 3: La película,Jim Carrey,Colleen O'Shaughnessey,Acción,122000000,422398000,7.6,1
Mufasa: El rey león,Aaron Pierre,Tiffany Boone,Aventura,200000000,591998338,7.4,1
Venom: El último baile,Tom Hardy,Juno Temple,Acción,120000000,478103649,6.8,1
Gladiator II,Paul Mescal,Connie Nielsen,Acción,310000000,458718000,6.753,1
Vaiana 2,Dwayne Johnson,Auliʻi Cravalho,Animación,150000000,1011930932,7.0,1
Le Jardinier,Jean-Claude Van Damme,Nawell Madani,Acción,0,0,4.671,0
De vuelta a la acción,Jamie Foxx,Cameron Diaz,Acción,0,0,6.7,0
El río de la muerte,Joseph Millson,Sarah Alexandra Marks,Terror,0,0,6.7,0
Red One,Dwayne Johnson,Lucy Liu,Acción,250000000,185700759,7.1,0
El despertar de la bestia,Frank Grillo,Katrina Law,Acción,0,1052998,6.5,0
Wicked,Jeff Goldblum,Cynthia Erivo,Drama,150000000,709615060,7.007,1
El señor de los anillos: La guerra de los Rohirrim,Brian Cox,Gaia Wise,Animación,30000000,19958572,6.6,0
Culpa tuya,Gabriel Guevara,Nicole Wallace,Romance,0,0,7.2,0
Memorias de un caracol,Kodi Smit-McPhee,Sarah Snook,Animación,4350000,1189972,7.8,0
La sustancia,Dennis Quaid,Demi Moore,Terror,17500000,76506196,7.1,1
N.º 24,Sjur Vatne Brean,Lisa Loven Kongsli,Bélica,0,3301976,7.3,0
Solo Leveling: ReAwakening,Taito Ban,三川華月,Acción,0,4150341,6.9,0
Devara: Parte 1,N.T. Rama Rao Jr.,Shruti Marathe,Acción,24000000,54000000,7.1,1
Elevation,Anthony Mackie,Morena Baccarin,Acción,18000000,3300000,6.269,0
Aftermath,Dylan Sprouse,Dichen Lachman,Acción,0,0,6.1,0
Dirty Angels,Reza Brojerdi,Eva Green,Acción,35954590,0,6.4,0
Heretic,Hugh Grant,Sophie Thatcher,Terror,10000000,51913394,7.2,1
El candidato honesto,Adrián Uribe,Mariana Seoane,Comedia,0,0,6.787,0
目中无人 2,谢苗,Yang Enyou,Acción,0,0,7.3,0
Nosferatu,Nicholas Hoult,Lily-Rose Depp,Drama,50000000,156335560,6.68,1
Robot salvaje,Pedro Pascal,Lupita Nyong'o,Animación,78000000,324816010,8.364,1
"Flow, un mundo que salvar",Desconocido,Desconocido,Animación,3500000,11019823,8.407,1
Equipaje de mano,Taron Egerton,Sofia Carson,Suspense,47000000,0,6.9,0
La balada de Davy Crockett,William Moseley,Valerie Jane Parker,Acción,0,0,3.8,0
Deadpool y Lobezno,Ryan Reynolds,Dafne Keen,Acción,200000000,1338073645,7.6,1
Absolution,Liam Neeson,Yolonda Ross,Acción,30000000,3854594,5.8,0
Culpa mía,Gabriel Guevara,Nicole Wallace,Romance,0,0,7.876,0
Gru 4. Mi villano favorito,Steve Carell,Kristen Wiig,Animación,100000000,969280910,7.074,1
Ad Vitam,Guillaume Canet,Stéphane Caillard,Suspense,0,0,6.4,0
キングダム　大将軍の帰還,山﨑賢人,橋本環奈,Acción,0,54114815,7.1,0
Smile 2,Lukas Gage,Naomi Scott,Terror,28000000,138083280,6.6,1
Apocalipsis Z: el principio del fin,Francisco Ortiz,Berta Vázquez,Drama,0,500000,6.826,0
Del revés 2 (Inside Out 2),Tony Hale,Amy Poehler,Animación,200000000,1698778437,7.569,1
Saturday Night's Main Event XXXVII,Cody Rhodes,Chelsea Cardona,Acción,0,0,7.1,0
Transformers One,Chris Hemsworth,Scarlett Johansson,Animación,75000000,128888103,8.089,1
A Real Pain,Jesse Eisenberg,Jennifer Grey,Comedia,0,9814110,6.757,0
Queer,Daniel Craig,Lesley Manville,Drama,53400000,3865730,7.2,0
Alarum,Scott Eastwood,Willa Fitzgerald,Acción,20000000,0,5.635,0
Hombre lobo,Christopher Abbott,Julia Garner,Terror,25000000,17332000,6.8,0
Arcadian,Nicolas Cage,Sadie Soverall,Acción,0,859453,6.132,0
"Sonic 2, la película",Ben Schwartz,Tika Sumpter,Acción,110000000,405421518,7.5,1
Así se hizo ‘El juego del calamar: El desafío',Stephen Lambert,Nicola Brown,Documental,0,0,6.4,0
Canina,Scoot McNairy,Amy Adams,Comedia,20000000,170737,6.144,0
Sonic: La película,Ben Schwartz,Tika Sumpter,Acción,85000000,319715683,7.3,1
Así se hizo ‘El juego del calamar: Temporada 2’,황동혁,Chae Kyung-sun,Documental,0,0,8.786,0
Rita,Gold Aceron,Christine Bermas,Drama,0,0,6.25,0
El hombre del saco,Sam Claflin,Antonia Thomas,Terror,14500000,0,6.3,0
xXx,Vin Diesel,Asia Argento,Acción,70000000,277448382,5.94,1
Misión en Taipei,Luke Evans,Gwei Lun-mei,Acción,30000000,2826064,6.2,0
The Thicket,Peter Dinklage,Juliette Lewis,Crimen,0,0,6.265,0
Bad Boys: Ride or Die,Will Smith,Vanessa Hudgens,Acción,100000000,404547819,7.416,1
"Santa, eres tu?",William Earl Ray,Scarlett Sperduto,Terror,0,0,7.2,0
El Conde de Montecristo,Pierre Niney,Anaïs Demoustier,Acción,46000000,75360860,8.1,1
La habitación de al lado,John Turturro,Julianne Moore,Drama,0,16416711,7.0,0
El hoyo 2,Hovik Keuchkerian,Milena Smit,Ciencia ficción,0,0,5.6,0
Vivir el momento,Andrew Garfield,Florence Pugh,Romance,20000000,37182814,7.527,1
Kung Fu Panda 4,Jack Black,Awkwafina,Animación,80000000,548040835,7.082,1
扉を閉めた女教師,Takeshi Yoshida,山岸あや花,Romance,0,0,8.5,0
Aguafiestas de incógnito,Igor Jansen,Giovanna Lancellotti,Comedia,0,0,7.2,0
Garfield: La película,Chris Pratt,Hannah Waddingham,Animación,60000000,254907482,7.123,1
Harry Potter y la piedra filosofal,Daniel Radcliffe,Emma Watson,Aventura,125000000,976475550,7.906,1
Dune: Parte dos,Timothée Chalamet,Zendaya,Ciencia ficción,190000000,714444358,8.153,1
El reino del planeta de los simios,Owen Teague,Freya Allan,Ciencia ficción,160000000,397378150,7.1,1
Death Note Relight 1: La visión de un Dios,Mamoru Miyano,Aya Hirano,Película de TV,0,0,8.1,0
Arena Wars,Michael Madsen,Mercedes Peterson,Acción,0,0,5.2,0
Las desapariciones,Paul Hamy,Virginie Ledoyen,Suspense,3500000,864825,6.15,0
Vengadores: Infinity War,Robert Downey Jr.,Scarlett Johansson,Aventura,300000000,2052415039,8.2,1
GTMAX,Jalil Lespert,Ava Baya,Acción,0,0,6.023,0
Watchmen: Capítulo 2,Troy Baker,Adrienne Barbeau,Animación,0,0,7.4,0
El señor de los anillos: La comunidad del anillo,Elijah Wood,Liv Tyler,Aventura,93000000,871368364,8.4,1
El padrino,Marlon Brando,Diane Keaton,Drama,6000000,245066411,8.689,1
Gladiator,Russell Crowe,Connie Nielsen,Acción,103000000,465361176,8.219,1
Beekeeper: El protector,Jason Statham,Emmy Raver-Lampman,Crimen,35000000,152720535,7.34,1
Un lugar tranquilo: Día uno,Joseph Quinn,Lupita Nyong'o,Terror,67000000,261786322,6.768,1
Canario Negro,Rupert Friend,Kate Beckinsale,Acción,0,525704,6.329,0
Super Mario Bros: La película,Chris Pratt,Anya Taylor-Joy,Animación,100000000,1362000000,7.639,1
Spider-Man: Cruzando el Multiverso,Shameik Moore,Hailee Steinfeld,Animación,100000000,690897910,8.354,1
Romper el círculo,Justin Baldoni,Blake Lively,Drama,25000000,350993761,7.1,1
Sin refugio,Scott Adkins,Alice Eve,Acción,0,0,7.0,0
Overlord: El reino sagrado,Satoshi Hino,原由実,Acción,0,7614966,7.7,0
Transmorphers: Bestias mecánicas,Tom Arnold,Tania Fox,Acción,0,65452,5.4,0
Wicked Minds,Andrew W. Walker,Angie Everhart,Misterio,0,0,6.608,0
Té negro,Chang Han,Nina Mélo,Romance,0,0,5.8,0
No entres,Desconocido,Desconocido,Terror,550000,0,7.2,0
Forrest Gump,Tom Hanks,Robin Wright,Comedia,55000000,677387716,8.47,1
Dune,Timothée Chalamet,Rebecca Ferguson,Ciencia ficción,165000000,407573628,7.787,1
Capitán América: Brave New World,Anthony Mackie,שירה האס,Acción,0,0,0.0,0
Espiando a Marina,Steve Bond,Debora Caprioglio,Suspense,0,0,5.6,0
Vengadores,Robert Downey Jr.,Scarlett Johansson,Ciencia ficción,220000000,1518815515,7.7,1
365 días más,Michele Morrone,Anna-Maria Sieklucka,Romance,0,0,6.388,0
Below Her Mouth,Sebastian Pigott,Erika Linder,Drama,0,33673,6.8,0
Paddington: Aventura en la selva,Ben Whishaw,Emily Mortimer,Comedia,90000000,56371925,7.3,0
A todos los chicos de los que me enamoré,Noah Centineo,Lana Condor,Comedia,0,0,7.609,0
2073,Hector Hewer,Samantha Morton,Suspense,0,7125,7.152,0
Ferry 2,Frank Lammers,Aiko Beemsterboer,Crimen,0,0,5.745,0
Alien: Romulus,David Jonsson,Cailee Spaeny,Terror,80000000,350865342,7.226,1
Henry Danger: La Película,Jace Norman,Ella Anderson,Acción,0,0,8.8,0
Pídeme lo que quieras,Mario Ermito,Gabriela Andrada,Romance,0,0,6.2,0
물오징어6969,Woo Yeol,So Jeong,Comedia,0,0,5.3,0
"Miraculous World: Las Aventuras de Ladybug en Londres, la carrera contra el tiempo",Benjamin Bollen,Annouck Hautbois,Animación,0,0,7.762,0
El juego del calamar: Chimenea,Desconocido,Desconocido,Desconocido,0,0,5.983,0
Los burdeles de Paprika,Stéphane Ferrara,Debora Caprioglio,Drama,0,0,7.0,0
Wallace y Gromit: La venganza se sirve con plumas,Ben Whitehead,Lauren Patel,Animación,0,191452,7.7,0
Des jours plus belles que la nuit,Desconocido,Desconocido,Romance,0,0,6.5,0
Terrifier 3,David Howard Thornton,Lauren LaVera,Terror,2000000,89771811,6.882,1
Estación Rocafort,Javier Gutiérrez,Natalia Azahara,Terror,0,0,5.2,0
Interstellar,Matthew McConaughey,Anne Hathaway,Aventura,165000000,701729206,8.4,1
Sidelined: The QB and Me,Noah Beck,Siena Agudong,Comedia,0,0,6.6,0
Azrael,Peter Christoffersen,Samara Weaving,Acción,12000000,631272,6.1,0
"Zak y Wowo, la leyenda de los Lendarys",Jérôme Niel,Clara Luciani,Animación,27200000,0,7.0,0
Juego de ladrones 2: Pantera,Gerard Butler,Evin Ahmad,Acción,40000000,32364092,6.7,0
Anora,Марк Эйдельштейн,Mikey Madison,Romance,6000000,33516549,6.988,1
Armor,Sylvester Stallone,Erin Ownbey,Acción,11500000,0,5.4,0
Largo Winch: El precio del dinero,Tomer Sisley,Clotilde Hesme,Acción,17000000,0,6.496,0
Despierta la furia,Jason Statham,Niamh Algar,Crimen,40000000,103966489,7.6,1
Sorairo Utility,Desconocido,高木美佑,Animación,0,0,4.7,0
Lembayung,Arya Saloka,Taskya Namya,Terror,0,0,7.8,0
Spider-Man: No Way Home,Tom Holland,Zendaya,Acción,200000000,1921847111,7.952,1
Beekeeper: El protector,Jason Statham,Emmy Raver-Lampman,Crimen,35000000,152720535,7.34,1
Vaiana,Dwayne Johnson,Catherine Laga'Aia,Aventura,0,0,0.0,0
Spider-Man: Cruzando el Multiverso,Shameik Moore,Hailee Steinfeld,Animación,100000000,690897910,8.354,1
Juego de ladrones: El atraco perfecto,Gerard Butler,Meadow Williams,Acción,30000000,80509622,6.8,1
Bitelchús Bitelchús,Michael Keaton,Winona Ryder,Comedia,100000000,451100435,7.1,1
Cadena perpetua,Tim Robbins,Renee Blaine,Drama,25000000,28341469,8.709,1
Venom,Tom Hardy,Michelle Williams,Ciencia ficción,116000000,856085151,6.83,1
Alice (Subservience),Michele Morrone,Megan Fox,Ciencia ficción,4400000,262793,6.728,0
Dune,Timothée Chalamet,Rebecca Ferguson,Ciencia ficción,165000000,407573628,7.787,1
GTMAX,Jalil Lespert,Ava Baya,Acción,0,0,6.023,0
El señor de los anillos: El retorno del rey,Elijah Wood,Miranda Otto,Aventura,94000000,1118888979,8.483,1
Emilia Pérez,Edgar Ramírez Arellano,Karla Sofía Gascón,Drama,26885000,9784656,7.7,0
Gladiator,Russell Crowe,Connie Nielsen,Acción,103000000,465361176,8.219,1
Las desapariciones,Paul Hamy,Virginie Ledoyen,Suspense,3500000,864825,6.15,0
Titanic,Leonardo DiCaprio,Kate Winslet,Drama,200000000,2264162353,7.9,1
El corredor del laberinto,Dylan O'Brien,Kaya Scodelario,Acción,34000000,348319861,7.188,1
Origen,Leonardo DiCaprio,Marion Cotillard,Acción,160000000,825532764,8.369,1
Harry Potter y el prisionero de Azkaban,Daniel Radcliffe,Emma Watson,Aventura,130000000,789804554,8.015,1
Forrest Gump,Tom Hanks,Robin Wright,Comedia,55000000,677387716,8.47,1
Outlanders,Mitsuo Iwata,Fumi Hirano,Animación,0,0,4.9,0
Overlord: El reino sagrado,Satoshi Hino,原由実,Acción,0,7614966,7.7,0
Oddity,Jonathan French,Carolyn Bracken,Terror,0,1699044,6.787,0
A todos los chicos de los que me enamoré,Noah Centineo,Lana Condor,Comedia,0,0,7.609,0
My Hero Academia: You're Next,Daiki Yamashita,生見愛瑠,Animación,0,32224616,6.7,0
Matrix,Keanu Reeves,Carrie-Anne Moss,Acción,63000000,463517383,8.221,1
Wicked Minds,Andrew W. Walker,Angie Everhart,Misterio,0,0,6.608,0
가슴 큰 울 엄마,James,유정,Drama,0,0,5.9,0
Train to Busan,공유,김수안,Terror,8500000,87547518,7.8,1
Canario Negro,Rupert Friend,Kate Beckinsale,Acción,0,525704,6.329,0
Twisters,Glen Powell,Daisy Edgar-Jones,Suspense,155000000,370962265,6.893,1
Megalodón 2: La fosa,Jason Statham,Shuya Sophia Cai,Acción,129000000,384056482,6.5,1
Transmorphers: Bestias mecánicas,Tom Arnold,Tania Fox,Acción,0,65452,5.4,0
El Gato con Botas: El último deseo,Antonio Banderas,Salma Hayek Pinault,Animación,90000000,484700000,8.2,1
Harry Potter y el cáliz de fuego,Daniel Radcliffe,Emma Watson,Aventura,150000000,895921036,7.806,1
Té negro,Chang Han,Nina Mélo,Romance,0,0,5.8,0
Se7en: Los Siete Pecados Capitales,Morgan Freeman,Gwyneth Paltrow,Crimen,33000000,327311859,8.374,1
Ladrones con clase,John Travolta,Kristin Davis,Acción,0,0,6.3,0
El caballero oscuro,Christian Bale,Maggie Gyllenhaal,Drama,185000000,1004558444,8.518,1
Super Mario Bros: La película,Chris Pratt,Anya Taylor-Joy,Animación,100000000,1362000000,7.639,1
Harry Potter y la cámara secreta,Daniel Radcliffe,Emma Watson,Aventura,100000000,876688482,7.713,1
Un lugar tranquilo: Día uno,Joseph Quinn,Lupita Nyong'o,Terror,67000000,261786322,6.768,1
Death Note Relight 2: Los sucesores de L,Mamoru Miyano,Aya Hirano,Película de TV,0,0,7.4,0
Furiosa: De la saga Mad Max,Chris Hemsworth,Anya Taylor-Joy,Acción,170000000,173775791,7.5,1
Pleasure,Tee Reel,Sofia Kappel,Drama,1800000,393824,6.206,0
Top Gun: Maverick,Tom Cruise,Monica Barbaro,Acción,170000000,1488732821,8.192,1
House of Darkness,Justin Long,Kate Bosworth,Terror,0,0,5.09,0
어린 엄마 2,Jeon Ji-hak,Kim Woo-kyung,Romance,0,0,3.5,0
Romper el círculo,Justin Baldoni,Blake Lively,Drama,25000000,350993761,7.1,1
Bob Esponja: Campamento del Terror,Tom Kenny,Carolyn Lawrence,Película de TV,0,0,7.1,0
Avatar: El sentido del agua,Sam Worthington,Zoe Saldaña,Ciencia ficción,460000000,2320250281,7.613,1
Pulp Fiction,John Travolta,Uma Thurman,Suspense,8000000,213928762,8.488,1
