title,actor,actress,genre,budget,revenue,imdb_score,success
Venom: El último baile,Tom Hardy,Chiwetel Ejiofor,Ciencia ficción,120000000,438325476,6.487,1
Smile 2,Naomi Scott,Rosemarie DeWitt,Terror,28000000,132416306,6.9,1
Robot salvaje,Lupita Nyong'o,Pedro Pascal,Animación,78000000,308583746,8.457,1
Terrifier 3,Lauren LaVera,David Howard Thornton,Terror,2000000,86813848,6.929,1
Gladiator II,Paul Mescal,Denzel Washington,Acción,310000000,98901925,6.8,0
Apocalipsis Z: el principio del fin,Francisco Ortiz,José María Yázpik,Drama,0,0,6.8,0
Levels,Cara Gee,Peter Mooney,Acción,0,0,5.658,0
Wicked,Cynthia Erivo,Ariana Grande,Drama,145000000,0,7.9,0
Deadpool y Lobezno,Ryan Reynolds,Hugh Jackman,Acción,200000000,1336816114,7.69,1
La sustancia,Demi Moore,Margaret Qualley,Drama,17500000,46818041,7.285,1
Heavenly Touch,Paolo Serrano,Joash Balejado,Drama,0,0,6.5,0
Vaiana 2,Auli'i Cravalho,Dwayne Johnson,Animación,0,0,7.8,0
Transformers One,Chris Hemsworth,Brian Tyree Henry,Animación,75000000,124530200,8.1,1
Alien: Romulus,Cailee Spaeny,David Jonsson,Terror,80000000,350752564,7.26,1
Red clasificada,Aaron Eckhart,Tim Roth,Acción,0,0,5.582,0
El método Knox,Michael Keaton,Al Pacino,Crimen,0,0,6.7,0
Red One,Dwayne Johnson,Chris Evans,Acción,250000000,89519694,6.623,0
Gru 4. Mi villano favorito,Steve Carell,Kristen Wiig,Animación,100000000,1000000000,7.1,1
Del revés 2 (Inside Out 2),Amy Poehler,Maya Hawke,Animación,200000000,1698217953,7.6,1
Arcadian,Nicolas Cage,Jaeden Martell,Acción,0,859453,6.062,1
Overlord: El reino sagrado,Satoshi Hino,原由実,Acción,0,0,7.7,0
Venom,Tom Hardy,Michelle Williams,Ciencia ficción,116000000,856085151,6.8,1
Ladrones con clase,John Travolta,Kristin Davis,Acción,0,0,6.3,0
El conde de Montecristo,Pierre Niney,Bastien Bouillon,Acción,46700000,73924182,8.229,1
మట్కా,Varun Tej,Meenakshi Chaudhary,Acción,0,0,0.0,0
Gladiator,Russell Crowe,Joaquin Phoenix,Acción,103000000,465361176,8.216,1
Venom: habrá matanza,Tom Hardy,Woody Harrelson,Ciencia ficción,110000000,506863592,6.798,1
Survivre,Andreas Pietschmann,Émilie Dequenne,Suspense,5270000,0,5.8,0
Batalla En La Línea Del Frente,Michael Lake,Christopher Cordell,Bélica,1500000,0,4.3,0
Azrael,Samara Weaving,Vic Carmen Sonne,Acción,12000000,631272,6.1,0
Whisper of the Witch,Артур Бесчастный,Марьяна Спивак,Terror,0,0,6.8,0
Libre,Lucas Bravo,Yvan Attal,Acción,0,0,6.5,0
¡Canta!: Thriller,Matthew McConaughey,Tori Kelly,Animación,0,0,7.4,0
Canario Negro,Kate Beckinsale,Rupert Friend,Acción,0,525704,6.3,1
